Null,Object_id,Hex,Color name,Size
572,11762,#543130,darkslategrey,7
573,11763,#14352b,darkslategrey,7
574,11764,#797b7c,rosybrown,28
575,11765,#5e5e5e,darkslategrey,16
576,11766,#929292,black,15
577,11771,#aaacaf,dimgrey,31
578,11774,#333333,darkslategrey,9
579,11775,#131619,black,42
580,11776,#555555,black,27
581,11777,#c3aea1,darkslategrey,8
582,11778,#29322f,darkslategrey,14
583,11779,#8a3a37,rosybrown,18
584,11797,#261509,black,33
585,11798,#ab9980,silver,2
586,11799,#6a6a6a,lightslategrey,32
587,19815,#182124,darkslategrey,4
588,19816,#5b4938,darkslategrey,32
589,11834,#51432c,darkolivegreen,19
590,11835,#2c221b,saddlebrown,13
591,11851,#97b1c4,darkolivegreen,9
592,11853,#33381a,darkolivegreen,6
593,11854,#99948e,grey,10
594,11864,#252524,black,10
595,11867,#ccb586,peru,3
596,11894,#b98116,darkgoldenrod,9
597,11903,#2a2c37,dimgrey,11
598,11904,#b2b2a8,darkslategrey,4
599,11911,#ece7e0,lightslategrey,15
600,17574,#bba873,grey,11
601,11913,#b6aeac,darkslategrey,13
602,11934,#a59580,dimgrey,1
603,11936,#c2bcbd,darkgrey,10
604,19523,#827752,grey,3
605,19524,#b4aaab,darkolivegreen,10
606,20421,#757861,tan,3
607,11938,#14120c,black,43
608,11939,#3c3f3c,sienna,15
609,18819,#452d0b,darkolivegreen,14
610,18820,#353416,darkslategrey,27
611,11957,#705b3c,grey,1
612,11983,#333333,black,2
613,11984,#161616,darkslategrey,5
614,12024,#978c65,dimgrey,1
615,12534,#b9c9c2,wheat,1
616,12542,#8d8170,peru,2
617,12543,#271a11,darkkhaki,3
618,12545,#8e6d4e,black,7
619,12551,#7c868f,lightslategrey,32
620,12569,#7b6b49,grey,6
621,12578,#111111,darkslategrey,18
622,12600,#814812,darkolivegreen,31
623,12601,#604f4e,darkslategrey,29
624,12602,#b8a288,grey,36
625,12977,#232323,darkslategrey,5
626,12630,#9c9c9c,darkslategrey,8
627,12631,#dfceb4,saddlebrown,13
628,12643,#999999,silver,4
629,12644,#a57d40,darkslategrey,6
630,12646,#000000,black,23
631,12690,#252b29,wheat,48
632,12692,#c2926b,black,1
633,12693,#72685e,dimgrey,10
634,12695,#ebe0d1,grey,6
635,12696,#6d260f,grey,1
636,12698,#211c22,dimgrey,24
637,12699,#271a0d,tan,31
638,12701,#d2b487,darkslategrey,15
639,12702,#967640,peru,7
640,12704,#b49965,peru,16
641,12705,#555555,silver,34
642,12707,#1c0c07,saddlebrown,22
643,12708,#57503a,peru,12
644,12709,#7a7a7a,black,20
645,12768,#7d7d7d,silver,13
646,12769,#a98856,saddlebrown,7
647,12770,#bcbcbc,silver,14
648,12771,#d7d7d7,lightgrey,5
649,12772,#ab893c,peru,5
650,12773,#795b30,darkslategrey,0
651,12791,#564230,sienna,1
652,12792,#5a4632,darkolivegreen,5
653,12793,#2e3639,darkslategrey,1
654,12794,#000000,black,8
655,12796,#b08b50,sienna,1
656,12797,#23221c,rosybrown,7
657,12799,#d1c4a7,black,8
658,12800,#b5a89d,lightgrey,1
659,12801,#795736,darkkhaki,7
660,12806,#568a94,seagreen,7
661,12811,#9da59c,darkgrey,11
662,12819,#d3bd9a,dimgrey,2
663,12822,#a58849,black,26
664,12823,#3c3831,darkolivegreen,30
665,12824,#5a4f4f,darkgrey,3
666,12825,#2e2e2e,grey,8
667,12827,#ababab,dimgrey,12
668,12828,#876128,saddlebrown,7
669,12829,#937e62,peru,3
670,12830,#f7f7f7,whitesmoke,51
671,12842,#727a6b,darkgrey,1
672,12843,#b2b3a8,darkolivegreen,15
673,12845,#bab6a5,black,3
674,14202,#616345,rosybrown,3
675,12846,#50321b,black,11
676,12855,#9d8354,silver,28
677,13003,#494949,dimgrey,17
678,13027,#767676,grey,26
679,12903,#545454,darkgrey,14
680,19022,#aa9264,darkslategrey,2
681,20889,#3a2721,darkslategrey,12
682,20891,#836241,darkolivegreen,16
683,12917,#634328,black,9
684,12975,#262621,darkslategrey,46
685,13057,#734519,saddlebrown,19
686,12980,#2d2625,darkslategrey,14
687,13008,#393939,darkslategrey,8
688,13209,#25231e,black,2
689,13210,#060606,black,22
690,13211,#010000,black,3
691,13223,#030202,black,1
692,13237,#2c231a,rosybrown,7
693,13269,#33303a,darkslategrey,2
694,13043,#9a978f,rosybrown,14
695,13045,#f1d4aa,darkslategrey,21
696,13047,#1c1e12,dimgrey,30
697,13049,#bab7b6,black,20
698,13051,#b4aea3,dimgrey,29
699,13052,#2f261c,darkslategrey,55
700,13053,#262012,black,21
701,13091,#ceab62,darkolivegreen,3
702,13093,#69573e,darkolivegreen,4
703,13094,#e8a775,darkolivegreen,16
704,13095,#b3a18c,silver,2
705,13096,#8b714d,darkkhaki,21
706,13097,#cda85b,peru,21
707,13099,#79696b,silver,6
708,13100,#1f1f1f,black,12
709,13101,#141414,dimgrey,5
710,13102,#2b2b2b,black,7
711,13103,#404040,darkslategrey,11
712,13104,#1c2427,black,16
713,13105,#252b31,darkslategrey,43
714,13131,#8a8369,darkkhaki,3
715,13132,#a3946d,palegoldenrod,4
716,13171,#826a51,grey,3
717,13187,#edb896,darkslategrey,38
718,13196,#111417,black,29
719,13198,#bfaf8b,darkolivegreen,20
720,13199,#716b40,darkolivegreen,25
721,13202,#886b4a,black,2
722,13204,#4a4a4a,darkgrey,6
723,13312,#573d0d,saddlebrown,4
724,13313,#706831,gainsboro,7
725,16875,#b9873d,darkkhaki,2
726,13331,#5f4729,darkolivegreen,11
727,13334,#6a7470,dimgrey,37
728,13335,#121012,black,50
729,13336,#9e9e9e,darkslategrey,4
730,13337,#c1afa0,black,1
731,13338,#9a6734,black,21
732,13343,#2d2d2d,darkgrey,10
733,13344,#88643e,black,3
734,13345,#b29965,black,2
735,13349,#a24b16,darkslategrey,2
736,13350,#1f1f1f,black,24
737,13351,#bababa,black,9
738,13352,#959595,black,11
739,13355,#83957c,dimgrey,26
740,13356,#a5a27a,lightgrey,11
741,13357,#5d512e,darkolivegreen,9
742,13360,#777777,dimgrey,2
743,14483,#f9f9f9,snow,22
744,14513,#070707,black,35
745,14514,#756056,rosybrown,3
746,21126,#4a3123,darkolivegreen,12
747,16590,#b89b71,peru,13
748,16591,#2d211e,saddlebrown,4
749,16592,#44483c,sienna,7
750,17447,#7c7f74,dimgrey,41
751,17517,#2b251f,sienna,2
752,20517,#48372a,dimgrey,2
753,437271,#6e5a2e,saddlebrown,11
754,631985,#432d1c,black,8
755,635384,#3c372b,dimgrey,8
756,635395,#162a24,darkslategrey,9
757,635399,#5b4939,darkslategrey,20
758,635400,#272720,saddlebrown,13
759,635401,#7f7e75,sienna,2
760,641448,#40392a,black,6
761,694642,#574316,rosybrown,1
762,698529,#281605,saddlebrown,30
763,719486,#482e1b,darkolivegreen,19
764,34018,#a79f90,rosybrown,8
765,34019,#e6e6e6,black,9
766,34020,#a1a1a1,darkgrey,15
767,35155,#95703a,peru,2
768,35655,#262626,darkslategrey,22
769,33284,#865d27,black,18
770,436343,#dbc9ac,darkolivegreen,21
771,436729,#727272,grey,4
772,36116,#aaa090,rosybrown,10
773,54791,#5e4c2f,darkolivegreen,0
774,676034,#6b5b41,darkolivegreen,6
775,48940,#bcbcbc,darkslategrey,7
776,42344,#7c7140,grey,2
