,Object_id,Object_type,Title,Date_started,Date_finished,Medium,Classification,Met_link,Artist_id,Dept_id
5214,644900,Painting,Bird's Hell,1938,1938,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/644900,2068,4
5215,652758,Painting,Optician's Window,1950,1950,Black ink and pastel on canvas,Paintings,http://www.metmuseum.org/art/collection/search/652758,2068,4
5216,655937,Painting,Self-Portrait with Cigarette,1947,1947,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/655937,2068,4
5217,489626,Painting,Horses,1894,1894,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489626,2069,4
5218,489631,Painting,The Lighthouse at Honfleur,1928,1929,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489631,2071,4
5219,489632,Painting,Model in the Artist's Studio,1928,1928,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489632,2071,4
5220,489633,Painting,"Dusk at La Baie des Anges, Nice",1932,1932,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489633,2071,4
5221,489636,Painting,Boy in Blue,1923,1933,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489636,2073,4
5222,489637,Painting,Woman Sewing,1901,1911,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489637,2074,4
5223,489701,Painting,Celia,1944,1944,"Oil, casein, charcoal, chalk, graphite, and ink on Masonite",Paintings,http://www.metmuseum.org/art/collection/search/489701,2075,4
5224,492420,Painting,Dikran Kelekian,1943,1943,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/492420,2075,4
5225,489702,Painting,River Bed Polyphony,1953,1953,Oil on canvas board,Paintings,http://www.metmuseum.org/art/collection/search/489702,2076,4
5226,489713,Painting,Untitled (Number 260),1942,1942,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489713,2077,4
5227,489715,Painting,Elsa in a Mexican Hat,1929,1929,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489715,2078,4
5228,489803,Painting,Relation 201,1968,1968,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489803,2079,4
5229,489804,Painting,Victory of Anghiari,1967,1967,Oil and liquitex on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489804,2079,4
5230,490187,Painting,Landscape,1952,1952,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490187,2079,4
5231,489822,Painting,Untitled,1950,1950,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489822,2080,4
5232,489871,Painting,Duncan Grant in front of a Mirror,1915,1917,Oil on plywood,Paintings,http://www.metmuseum.org/art/collection/search/489871,2081,4
5233,489966,Painting,Three Studies for a Self-Portrait,1979,1980,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489966,2082,4
5234,494826,Painting,Head I,1947,1948,Oil and tempera on board,Paintings,http://www.metmuseum.org/art/collection/search/494826,2082,4
5235,489970,Painting,Prelude to a Civilization,1954,1954,Encaustic and ink on Masonite,Paintings,http://www.metmuseum.org/art/collection/search/489970,2083,4
5236,489976,Painting,The Barbarians,1937,1937,Oil on cardboard,Paintings,http://www.metmuseum.org/art/collection/search/489976,2084,4
5237,490182,Painting,Gala Éluard,1924,1924,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490182,2084,4
5238,489982,Painting,Annette,1961,1961,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/489982,2085,4
5239,492699,Painting,Still Life with an Apple,1937,1937,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/492699,2085,4
5240,490064,Painting,Delirious Hem,1995,1995,"Graphite and colored pencil on papers, mounted on canvas",Paintings,http://www.metmuseum.org/art/collection/search/490064,2086,4
5241,490081,Painting,Untitled,1996,1996,Acrylic and acrylic medium on cotton duck,Paintings,http://www.metmuseum.org/art/collection/search/490081,2087,4
5242,490097,Painting,Harbour,1936,1936,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490097,2088,4
5243,490183,Painting,Rijo,1963,1963,Acrylic on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490183,2089,4
5244,490193,Painting,Figure,1950,1950,Oil and enamel on cardboard,Paintings,http://www.metmuseum.org/art/collection/search/490193,2090,4
5245,490202,Painting,The Lady's Flowers,1953,1953,Oil and newspaper on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490202,2091,4
5246,490213,Painting,Self-Portrait,1951,1951,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490213,2092,4
5247,490244,Painting,Obsession II,1965,1965,Acrylic on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490244,2093,4
5248,490248,Painting,Harbour Master,1998,1998,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490248,2094,4
5249,490677,Painting,Horse,1992,1992,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490677,2095,4
5250,490739,Painting,David Smith,1925,1935,Oil on linen,Paintings,http://www.metmuseum.org/art/collection/search/490739,2096,4
5251,490750,Painting,Springtime,1889,1899,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490750,2097,4
5252,490834,Painting,Small Golden Corner,1988,1988,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/490834,2098,4
5253,490941,Painting,The Cemetary II,1999,1999,"Resin encapsulated computer generated off-set plate in artist-made metal frame
",Paintings,http://www.metmuseum.org/art/collection/search/490941,2099,4
5254,491233,Painting,Waiter II,1998,1998,Photo screenprint on polyester with brush applied acrylic fabric dye,Paintings,http://www.metmuseum.org/art/collection/search/491233,2100,4
5255,491292,Painting,m,1996,1996,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/491292,2101,4
5256,491587,Painting,Versions IV,1992,1992,Oil and graphite on acrylic resin sheet with embedded fiberglass (Lumasite) and wax paper,Paintings,http://www.metmuseum.org/art/collection/search/491587,2102,4
5257,491647,Painting,Life Cycle II,2000,2000,Oil on Masonite,Paintings,http://www.metmuseum.org/art/collection/search/491647,2103,4
5258,491708,Painting,The Mathematician,1959,1959,Oil on canvas,Paintings,http://www.metmuseum.org/art/collection/search/491708,2104,4
5259,491764,Painting,Mystery,2000,2000,"Oil, wax, and graphite on plywood",Paintings,http://www.metmuseum.org/art/collection/search/491764,2105,4
5260,491804,Painting,Nest,2000,2000,Encaustic on plywood panel with wood frame,Paintings,http://www.metmuseum.org/art/collection/search/491804,2106,4
5261,491923,Painting,The Mole,1944,1944,Egg tempera on Masonite,Paintings,http://www.metmuseum.org/art/collection/search/491923,2107,4
